BB-B1-B1-01
BB-B1-B1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
-1,2,-998,82,2.2667,3.0053,2.2328,2.4116,2.4855,0.0095,2.9003,106.9392,0.276,0.2518,1,448.3428
-1,3,-997,82,2.2577,3.1478,2.2249,2.4088,2.489,0.0025,3.0229,103.7799,0.2728,0.2434,3,447.2171
0,3,3,82,2.2434,2.9968,2.2117,2.4078,2.4884,0.0037,2.8944,103.0914,0.2738,0.2454,3,446.49
1,3,1003,82,2.2387,2.9963,2.2065,2.4071,2.4879,0.0676,2.8942,104.7734,0.2759,0.2486,2,446.4949
2,3,2003,82,2.2624,3.1309,2.2284,2.4136,2.4932,0.0067,3.0095,103.6727,0.2722,0.2427,3,446.3935
3,3,3003,82,2.2758,3.0141,2.2443,2.4191,2.4935,0.0561,2.9123,104.4164,0.2731,0.2463,3,447.0847
4,3,4003,82,2.2311,2.9991,2.2008,2.4026,2.4842,0.0188,2.8962,103.9442,0.2743,0.2456,3,446.883
5,3,5003,82,2.2297,3.0019,2.2017,2.4056,2.486,0.0578,2.8961,105.7255,0.272,0.2427,3,446.6982
6,3,6003,82,2.2673,3.0159,2.2349,2.4124,2.4876,0.0511,2.9109,103.0611,0.273,0.2469,2,447.2032
7,3,7003,82,2.2631,3.2392,2.226,2.4174,2.4953,0.2262,3.0882,106.3366,0.2735,0.2447,3,447.0847
8,3,8003,82,2.217,3.0138,2.1858,2.4025,2.4833,0.0089,2.9038,106.2408,0.2758,0.2503,2,447.1607
9,3,9003,82,2.2412,2.9631,2.2105,2.3991,2.4808,0.0063,2.8726,104.7442,0.2722,0.2459,3,447.4925
10,3,10003,82,2.2598,3.1989,2.2238,2.4113,2.4889,0.0545,3.053,106.928,0.2752,0.2504,2,447.4382
11,3,11003,82,2.2115,2.9823,2.1822,2.3969,2.4797,0.0291,2.8852,106.5969,0.2733,0.2479,2,447.4103
12,3,12003,82,2.2132,2.9759,2.1819,2.393,2.4776,0.0119,2.8805,104.3422,0.2735,0.2495,2,447.6486
13,3,13003,82,2.2109,2.9849,2.1822,2.3994,2.4828,0.0011,2.8887,106.3402,0.274,0.2477,2,446.6946
14,3,14003,82,2.2299,2.9919,2.2003,2.4046,2.4854,0.0008,2.893,106.595,0.2744,0.2496,2,446.7226
15,3,15003,82,2.2102,2.9886,2.181,2.3992,2.4824,0.0065,2.8908,106.0476,0.2742,0.2472,2,446.9629
16,3,16003,82,2.1581,2.987,2.1284,2.3977,2.4827,0.02,2.8887,106.1507,0.274,0.2465,2,446.6369
17,3,17003,82,2.2152,2.9893,2.1856,2.4022,2.4846,0.009,2.8918,106.2717,0.2742,0.2469,2,446.6666
18,3,18003,82,2.2047,2.9905,2.1732,2.3987,2.4827,0.013,2.8909,106.6021,0.2728,0.2464,3,446.8222
19,3,19003,82,2.2243,2.9816,2.1942,2.3985,2.4817,0.0024,2.8859,103.6533,0.2747,0.2474,2,447.1789
20,3,20003,82,2.2115,2.9848,2.1826,2.398,2.4809,0.0199,2.8857,106.2826,0.2724,0.247,2,447.1666
21,3,21003,82,2.2265,2.9875,2.1963,2.4049,2.4861,0.0075,2.8901,105.2287,0.2726,0.244,3,446.4525
22,3,22003,82,2.2194,2.9787,2.1877,2.3946,2.4786,0.008,2.8819,103.8535,0.2721,0.2445,3,447.6863
23,3,23003,82,2.1944,3.0202,2.1659,2.3958,2.4796,0.1235,2.9077,105.7954,0.2734,0.2467,2,447.6078
24,3,24003,82,2.2238,2.9848,2.1949,2.4002,2.4814,0.0033,2.8865,106.2805,0.2737,0.2459,3,447.3526
25,3,25003,82,2.2696,3.0157,2.2377,2.4139,2.4888,0.079,2.9119,104.3097,0.2742,0.2482,2,447.1304
26,3,26003,82,2.2053,3.0053,2.1775,2.4011,2.4842,0.0195,2.8975,107.4448,0.2741,0.2477,2,446.7131
27,3,27003,82,2.2323,2.9979,2.201,2.405,2.4864,0.0064,2.8957,104.7392,0.2741,0.2464,2,446.6144
28,3,28003,82,2.2721,3.0057,2.2387,2.4171,2.4917,0.1244,2.9043,105.2407,0.2745,0.2479,2,446.5793
29,3,29003,82,2.2623,3.0738,2.2278,2.4135,2.4893,0.0121,2.9576,103.7958,0.2719,0.2444,3,447.3209
30,3,30003,82,2.2309,3.0022,2.1981,2.4018,2.4837,0.0063,2.8972,105.0427,0.2743,0.2467,2,446.9057
31,3,31003,82,2.2369,3.0053,2.2039,2.4012,2.4827,0.0074,2.9003,105.1882,0.275,0.2478,2,447.1139
32,3,32003,82,2.2761,3.0072,2.2416,2.4188,2.4932,0.0764,2.9062,104.5419,0.2727,0.2443,3,447.0847
33,3,33003,82,2.2481,3.1919,2.2113,2.4009,2.4785,0.0234,3.0411,106.0316,0.273,0.2497,2,449.205
34,3,34003,82,2.2159,3.0212,2.1852,2.4018,2.4845,0.0067,2.9091,106.7181,0.2746,0.2483,2,446.4938
35,3,35003,82,2.2306,3.0123,2.201,2.406,2.4865,0.0137,2.9024,106.6598,0.2747,0.2485,2,446.669
36,3,36003,82,2.2524,3.2195,2.2144,2.411,2.4887,0.0342,3.0667,107.7181,0.2745,0.2506,2,447.6465
37,3,37003,82,2.22,2.9923,2.192,2.4045,2.4861,0.0173,2.8938,105.7465,0.2729,0.2454,3,446.7345
38,3,38003,82,2.1247,2.9796,2.0722,2.3935,2.4782,0.0493,2.8826,105.288,0.2748,0.2507,2,447.6206
39,3,39003,82,2.2072,2.9932,2.1796,2.4029,2.4864,0.0178,2.8939,105.3618,0.2739,0.2446,3,446.334
40,3,40003,82,2.2232,2.9929,2.1921,2.4037,2.4852,0.0019,2.8929,106.5662,0.2728,0.2469,2,446.765
41,3,41003,82,2.2137,2.9865,2.1833,2.3996,2.4827,0.0016,2.8889,105.747,0.2722,0.2447,3,446.9177
42,3,42003,82,2.2104,2.9889,2.1809,2.3988,2.4821,0.0047,2.8897,106.8424,0.2736,0.2482,2,446.9689
42,4,42004,82,2.2109,2.9876,2.1808,2.3991,2.4825,0.0101,2.8888,106.0045,0.2744,0.2476,2,446.8389
41,4,41004,82,2.2081,2.9861,2.1788,2.3988,2.4825,0.0088,2.8887,105.7405,0.2748,0.2477,2,446.8761
40,4,40004,82,2.2321,2.9962,2.2025,2.4065,2.4871,0.0151,2.8957,106.1676,0.2751,0.247,2,446.4746
39,4,39004,82,2.2046,2.9857,2.1737,2.3982,2.4824,0.0115,2.8885,107.0679,0.2747,0.2501,2,446.8415
38,4,38004,82,2.2112,3.0167,2.1812,2.3915,2.4739,0.1268,2.9019,105.9267,0.2748,0.2512,2,448.2893
37,4,37004,82,2.231,2.9948,2.202,2.4063,2.487,0.0002,2.8956,105.7186,0.2732,0.2457,3,446.4337
36,4,36004,82,2.2598,3.2018,2.2244,2.4094,2.4866,0.0164,3.0557,107.2408,0.2749,0.2476,2,447.0847
35,4,35004,82,2.2311,2.9604,2.2033,2.3969,2.479,0.0466,2.8698,104.2902,0.2744,0.2486,2,447.9421
34,4,34004,82,2.2282,3.0144,2.1997,2.4064,2.4863,0.0667,2.9042,106.6074,0.2729,0.2459,3,446.7154
33,4,33004,82,2.1891,3.2619,2.1444,2.4026,2.485,0.0368,3.1005,105.6668,0.2736,0.2504,2,448.0759
32,4,32004,82,2.2031,2.9911,2.1712,2.3968,2.4817,0.0012,2.8895,104.639,0.2749,0.2468,2,446.5095
31,4,31004,82,2.2392,3.003,2.2078,2.4061,2.487,0.0011,2.8998,104.1,0.2741,0.2459,3,446.5235
30,4,30004,82,2.2172,3.0007,2.1845,2.4001,2.4832,0.0035,2.8967,104.7744,0.2729,0.2451,3,446.78
29,4,29004,82,2.2709,3.0299,2.2371,2.4182,2.4934,0.0085,2.9263,103.3665,0.2728,0.2429,3,446.3635
28,4,28004,82,2.2774,3.0145,2.2429,2.4189,2.4932,0.0788,2.9112,104.5832,0.2732,0.2455,3,446.3741
27,4,27004,82,2.2288,3.0009,2.1994,2.4013,2.4832,0.0041,2.8977,104.2802,0.2747,0.2465,2,446.8627
26,4,26004,82,2.2277,3.0053,2.1967,2.4033,2.483,0.0363,2.8963,107.1158,0.2749,0.25,2,447.4351
25,4,25004,82,2.2706,3.0067,2.2379,2.4146,2.4895,0.0174,2.906,104.5004,0.2745,0.2498,2,447.0001
24,4,24004,82,2.2389,2.9873,2.2076,2.406,2.4861,0.0049,2.8886,106.2796,0.275,0.2477,2,446.5819
23,4,23004,82,2.2045,3.0212,2.1758,2.4031,2.4856,0.0698,2.9094,106.1956,0.275,0.2482,2,446.574
22,4,22004,82,2.2194,2.9798,2.1895,2.3951,2.4788,0.0159,2.8835,105.2305,0.2748,0.2503,2,447.6408
21,4,21004,82,2.214,2.9851,2.1863,2.399,2.4815,0.0705,2.8876,106.1619,0.2728,0.2468,2,447.2023
20,4,20004,82,2.2108,2.9904,2.183,2.4009,2.4835,0.0377,2.8907,105.7013,0.2747,0.2464,2,446.9208
19,4,19004,82,2.2163,2.9799,2.1885,2.3935,2.4776,0.015,2.8834,104.878,0.2751,0.2513,2,447.908
18,4,18004,82,2.2155,2.9911,2.1862,2.4024,2.4849,0.0131,2.8918,106.2164,0.2736,0.2467,2,446.6926
17,4,17004,82,2.2159,2.9845,2.1845,2.3992,2.482,0.0112,2.8876,105.9005,0.2745,0.2472,2,446.9209
16,4,16004,82,2.2119,2.9876,2.1827,2.4001,2.4836,0.0003,2.8893,105.5613,0.2736,0.2455,3,446.6303
15,4,15004,82,2.2079,2.9904,2.1797,2.4002,2.4835,0.0191,2.8917,106.0329,0.2726,0.2456,3,446.7414
