AA-A1-A1-01
AA-A1-A1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
15,2,15002,3,2.2712,3.0184,2.2385,2.4158,2.4901,0.0279,2.9128,108.96,0.2728,0.2459,3,447.8023
14,2,14002,3,2.2648,3.0213,2.2333,2.4155,2.4903,0.0174,2.9139,108.4693,0.2717,0.2436,3,447.7165
13,2,13002,3,2.2546,3.0192,2.2222,2.4147,2.4896,0.013,2.9132,108.1985,0.2709,0.2422,3,447.8426
12,2,12002,3,2.2435,3.022,2.2071,2.4155,2.4908,0.0331,2.9155,109.8454,0.2721,0.2461,3,447.4022
11,2,11002,3,2.2655,3.0227,2.231,2.4189,2.4935,0.0001,2.9171,108.9782,0.2721,0.2445,3,447.1623
10,2,10002,3,2.2752,3.0213,2.2423,2.4198,2.4942,0.0035,2.9152,108.5685,0.2715,0.242,3,447.061
9,2,9002,82,2.2727,3.022,2.2398,2.4161,2.49,0.0059,2.9152,107.5374,0.2724,0.2419,3,447.5888
8,2,8002,3,2.2768,3.0231,2.2464,2.4167,2.4904,0.0185,2.9155,109.3898,0.2734,0.2461,3,447.2491
7,2,7002,3,2.2778,3.0189,2.2471,2.4216,2.4954,0.0319,2.9147,108.5667,0.2724,0.2442,3,446.8339
6,2,6002,2,2.2575,3.0357,2.2267,2.4055,2.4812,0.0138,2.9214,109.9229,0.2734,0.2507,2,447.3732
5,2,5002,4,2.2686,3.0226,2.2344,2.4154,2.4896,0.0097,2.9154,108.0476,0.27,0.241,4,447.3606
4,2,4002,3,2.2704,3.0349,2.2359,2.416,2.4903,0.11,2.9252,109.148,0.2723,0.2445,3,447.4454
3,2,3002,82,2.2349,2.9995,2.1988,2.4067,2.4827,0.0543,2.9004,105.8831,0.2694,0.2422,3,448.6223
2,2,2002,82,2.2666,3.0359,2.2305,2.4173,2.492,0.0096,2.9274,107.854,0.272,0.2439,3,446.8097
